true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
23,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
24,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
25,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
26,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
27,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
28,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
29,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
30,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
31,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
32,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
33,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
34,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
35,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
36,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
37,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
38,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
39,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
40,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
41,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
42,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
43,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
44,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
45,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
46,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
47,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
48,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
49,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
50,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
51,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
52,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
53,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
54,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
55,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
56,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
57,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,14.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,106.0,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,134.0
